Item ID,Name,Width,Depth,Height,Mass,Priority,Expiry Date,Usage Limit,Preferred Zone
item0001,Dehydrated Meal Pack,18,29,60,12,11,N/A,78,Docking Area 2
item0002,Hygiene Kit,12,38,94,74,29,N/A,14,Crew Quarters
item0003,Oxygen Cylinder,90,22,31,60,16,2026-01-30,69,Cupola
item0004,Experiment Sample,79,46,62,88,74,N/A,18,Docking Area 2
item0005,Experiment Sample,20,12,58,66,49,N/A,51,Docking Area 1
item0006,Solar Panel Part,47,59,59,43,41,N/A,69,Crew Quarters
item0007,Microgravity Experiment Setup,25,22,43,93,36,2026-03-02,95,Storage Area 2
item0008,Hygiene Kit,93,37,50,29,16,N/A,58,Airlock
item0009,Microgravity Experiment Setup,8,57,7,30,0,2025-04-06,16,Russian Laboratory
item0010,Solar Panel Part,89,75,76,46,25,2025-12-20,73,Storage Area 3
item0011,Oxygen Cylinder,18,93,30,25,22,N/A,95,US Laboratory
item0012,Dehydrated Meal Pack,18,48,36,98,42,N/A,25,Docking Area 1
item0013,Water Container,88,46,55,78,93,2025-05-23,2,Airlock
item0014,Communication Device,30,23,44,44,40,2025-11-04,22,Service Module
item0015,Oxygen Cylinder,70,66,88,94,34,2025-11-25,40,Docking Area 1
item0016,Spare Part,26,82,26,71,86,N/A,76,Crew Quarters
item0017,Medical Supply Kit,66,5,96,32,41,2025-12-12,13,Docking Area 3
item0018,Oxygen Cylinder,13,69,97,8,86,2025-12-06,17,European Laboratory
item0019,Solar Panel Part,43,80,73,40,89,2025-08-12,87,Airlock
item0020,Water Container,79,55,63,54,17,2025-10-14,66,Storage Area 1
item0021,Tool Kit,82,55,53,93,15,N/A,12,Storage Area 1
item0022,Battery Pack,87,46,62,1,56,N/A,29,Storage Area 1
item0023,Oxygen Cylinder,49,11,29,4,74,N/A,67,Docking Area 4
item0024,Spare Part,29,85,67,3,50,2026-02-11,13,Japanese Laboratory
item0025,Scientific Instrument,86,77,47,38,28,N/A,36,Crew Quarters
item0026,Water Container,7,91,14,42,99,N/A,59,Airlock
item0027,Dehydrated Meal Pack,79,36,70,10,65,N/A,86,US Laboratory
item0028,Medical Supply Kit,57,22,97,93,97,N/A,84,Storage Area 1
item0029,Water Container,61,20,22,96,63,2025-05-23,67,Crew Quarters
item0030,Microgravity Experiment Setup,81,44,26,64,52,N/A,91,European Laboratory
item0031,Solar Panel Part,84,9,33,3,99,2025-12-23,25,European Laboratory
item0032,Battery Pack,7,58,92,71,17,2026-03-08,49,Airlock
item0033,Dehydrated Meal Pack,5,41,18,73,93,2025-08-31,29,Airlock
item0034,Communication Device,5,76,31,76,35,N/A,71,Cupola
item0035,Tool Kit,63,38,32,66,88,N/A,43,Russian Laboratory
item0036,Microgravity Experiment Setup,32,63,51,48,13,2026-03-18,7,Russian Laboratory
item0037,Medical Supply Kit,77,64,41,62,3,2026-03-07,64,Storage Area 2
item0038,Spare Part,86,37,58,11,89,2025-11-12,82,Japanese Laboratory
item0039,Scientific Instrument,77,24,43,54,42,N/A,64,Airlock
item0040,Communication Device,24,36,20,95,35,N/A,39,Airlock
item0041,Spare Part,78,27,5,99,6,2025-09-15,96,Crew Quarters
item0042,Experiment Sample,29,76,37,21,52,2025-12-26,33,Docking Area 1
item0043,Water Container,17,27,42,8,22,2025-11-14,100,Storage Area 2
item0044,Scientific Instrument,80,84,33,46,45,N/A,23,Docking Area 1
item0045,Experiment Sample,39,14,9,75,66,2025-06-03,89,Crew Quarters
item0046,First Aid Kit,81,44,41,29,7,N/A,39,Airlock
item0047,Experiment Sample,61,92,21,87,25,N/A,49,Service Module
item0048,Experiment Sample,59,53,75,38,8,2025-11-29,25,Crew Quarters
item0049,Hygiene Kit,8,34,7,24,35,2025-09-27,35,Docking Area 4
item0050,Spare Part,76,81,18,82,46,2025-12-05,69,Storage Area 1
item0051,Battery Pack,29,25,86,16,52,2026-03-16,17,Docking Area 1
item0052,Tool Kit,64,62,15,30,10,N/A,7,Storage Area 3
item0053,Spare Part,96,36,23,67,81,N/A,58,Airlock
item0054,Hygiene Kit,23,62,58,94,96,2026-01-15,67,Docking Area 2
item0055,Microgravity Experiment Setup,46,9,5,87,77,N/A,31,Russian Laboratory
item0056,Medical Supply Kit,53,51,88,94,74,N/A,66,Storage Area 1
item0057,Food Ration,39,36,73,13,98,2026-01-08,92,European Laboratory
item0058,Medical Supply Kit,64,28,57,92,21,N/A,52,Storage Area 2
item0059,Scientific Instrument,32,59,83,30,94,2025-06-05,58,Airlock
